,id,stationName,latitude,longitude,totalDocks
102,331,Pike St & Monroe St,40.71173107,-73.99193043,27
103,332,Cherry St,40.71219906,-73.97948148,24
104,334,W 20 St & 7 Ave,40.74238787,-73.99726235,31
105,335,Washington Pl & Broadway,40.72903917,-73.99404649,27
106,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,36
107,337,Old Slip & Front St,40.7037992,-74.00838676,37
108,339,Avenue D & E 12 St,40.72580614,-73.97422494,24
109,340,Madison St & Clinton St,40.71269042,-73.98776323,27
110,341,Stanton St & Mangin St,40.71782143,-73.97628939,19
111,342,Columbia St & Rivington St,40.71739973,-73.98016555,29
112,343,Clinton Ave & Flushing Ave,40.69794,-73.96986848,23
113,344,Monroe St & Bedford Ave,40.6851443,-73.95380904,23
114,345,W 13 St & 6 Ave,40.73649403,-73.99704374,35
115,346,Bank St & Hudson St,40.73652889,-74.00618026,27
116,347,Greenwich St & W Houston St,40.728846,-74.008591,35
117,349,Rivington St & Ridge St,40.71850211,-73.98329859,23
118,350,Clinton St & Grand St,40.71559509,-73.9870295,28
119,351,Front St & Maiden Ln,40.70530954,-74.00612572,39
120,353,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,27
121,354,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,23
122,355,Bayard St & Baxter St,40.71602118,-73.99974372,43
123,356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,23
124,357,E 11 St & Broadway,40.73261787,-73.99158043,27
125,358,Christopher St & Greenwich St,40.73291553,-74.00711384,36
126,359,E 47 St & Park Ave,40.75510267,-73.97498696,55
127,360,William St & Pine St,40.70717936,-74.00887308,39
128,361,Allen St & Hester St,40.71605866,-73.99190759,43
129,362,Broadway & W 37 St,40.75172632,-73.98753523,57
130,363,West Thames St,40.70834698,-74.01713445,49
131,364,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,27
132,365,Fulton St & Grand Ave,40.68223166,-73.9614583,31
133,366,Clinton Ave & Myrtle Ave,40.693261,-73.968896,33
134,368,Carmine St & 6 Ave,40.73038599,-74.00214988,39
135,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,35
136,372,Franklin Ave & Myrtle Ave,40.694546087246025,-73.95801365375519,27
137,373,Willoughby Ave & Walworth St,40.69331716,-73.95381995,19
138,376,John St & William St,40.70862144,-74.00722156,43
139,377,6 Ave & Canal St,40.72243797,-74.00566443,45
140,379,W 31 St & 7 Ave,40.749156,-73.9916,42
141,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,39
142,382,University Pl & E 14 St,40.73492695,-73.99200509,36
143,383,Greenwich Ave & Charles St,40.735238,-74.000271,39
144,385,E 55 St & 2 Ave,40.75797322,-73.96603308,29
145,386,Centre St & Worth St,40.71494807,-74.00234482,43
146,387,Centre St & Chambers St,40.71273266,-74.0046073,39
147,388,W 26 St & 10 Ave,40.749717753,-74.002950346,35
148,389,Broadway & Berry St,40.71044554,-73.96525063,27
149,390,Duffield St & Willoughby St,40.69221589,-73.9842844,31
150,391,Clark St & Henry St,40.69760127,-73.99344559,31
151,392,Jay St & Tech Pl,40.695065,-73.987167,35
152,393,E 5 St & Avenue C,40.72299208,-73.97995466,31
153,394,E 9 St & Avenue C,40.72521311,-73.97768752,32
154,396,Lefferts Pl & Franklin Ave,40.680342423,-73.9557689392,25
155,397,Fulton St & Clermont Ave,40.68415748,-73.96922273,27
156,398,Atlantic Ave & Furman St,40.69165183,-73.9999786,31
157,399,Lafayette Ave & St James Pl,40.68851534,-73.9647628,27
158,400,Pitt St & Stanton St,40.71926081,-73.98178024,15
159,401,Allen St & Rivington St,40.72019576,-73.98997825,42
160,402,Broadway & E 22 St,40.7403432,-73.98955109,39
161,403,E 2 St & 2 Ave,40.72502876,-73.99069656,31
162,405,Washington St & Gansevoort St,40.739323,-74.008119,40
163,406,Hicks St & Montague St,40.69512845,-73.99595065,34
164,407,Henry St & Poplar St,40.700469,-73.991454,37
165,408,Market St & Cherry St,40.71076228,-73.99400398,23
166,409,DeKalb Ave & Skillman St,40.6906495,-73.95643107,19
167,410,Suffolk St & Stanton St,40.72066442,-73.98517977,35
168,411,E 6 St & Avenue D,40.72228087,-73.97668709,23
169,412,Forsyth St & Canal St,40.7158155,-73.99422366,29
170,414,Pearl St & Anchorage Pl,40.70281858,-73.98765762,24
171,415,Pearl St & Hanover Square,40.7047177,-74.00926027,42
172,416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,31
173,417,Barclay St & Church St,40.71291224,-74.01020234,23
174,418,Front St & Gold St,40.70224,-73.982578,23
175,419,Carlton Ave & Park Ave,40.69580705,-73.97355569,23
176,420,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,23
177,421,Clermont Ave & Park Ave,40.69573398,-73.97129668,19
178,422,W 59 St & 10 Ave,40.770513,-73.988038,55
179,423,W 54 St & 9 Ave,40.76584941,-73.98690506,26
180,426,West St & Chambers St,40.71754834,-74.01322069,30
181,427,Bus Slip & State St,40.701907,-74.013942,47
183,430,York St & Jay St,40.7014851,-73.98656928,27
184,432,E 7 St & Avenue A,40.72621788,-73.98379855,29
185,433,E 13 St & Avenue A,40.72955361,-73.98057249,39
186,435,W 21 St & 6 Ave,40.74173969,-73.99415556,47
187,436,Hancock St & Bedford Ave,40.68216564,-73.95399026,27
188,437,Macon St & Nostrand Ave,40.6809833854,-73.9500479759,24
189,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,41
190,439,E 4 St & 2 Ave,40.7262807,-73.98978041,39
191,440,E 45 St & 3 Ave,40.75255434,-73.97282625,32
192,441,E 52 St & 2 Ave,40.756014,-73.967416,35
194,443,Bedford Ave & S 9 St,40.70853074,-73.96408963,23
195,445,E 10 St & Avenue A,40.72740794,-73.98142006,54
196,446,W 24 St & 7 Ave,40.74487634,-73.99529885,39
197,447,8 Ave & W 52 St,40.76370739,-73.9851615,23
198,448,W 37 St & 10 Ave,40.75660359,-73.9979009,31
199,449,W 52 St & 9 Ave,40.76461837,-73.98789473,31
200,450,W 49 St & 8 Ave,40.76227205,-73.98788205,59
201,453,W 22 St & 8 Ave,40.74475148,-73.99915362,39
202,454,E 51 St & 1 Ave,40.75455731,-73.96592976,35
203,455,1 Ave & E 44 St,40.75001986,-73.96905301,39
204,456,E 53 St & Madison Ave,40.7597108,-73.97402311,35
205,457,Broadway & W 58 St,40.76695317,-73.98169333,39
206,458,11 Ave & W 27 St,40.751396,-74.005226,31
207,459,W 20 St & 11 Ave,40.746745,-74.007756,49
208,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,23
209,461,E 20 St & 2 Ave,40.73587678,-73.98205027,39
210,462,W 22 St & 10 Ave,40.74691959,-74.00451887,47
211,465,Broadway & W 41 St,40.75513557,-73.98658032,39
